web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1588621694-662","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Mike Stuart","Only worked for a month, valves stuck, very inconsistent","Reviewed in the United States on September 7, 2019","I tried this product out in order to water my lawn. It worked just fine for the first month until I realized that a section of my yard was starting to die. A valve was stuck and wouldn’t open when it was timed to. So I had to start manually watering that area. Then a couple weeks later another valve stopped working and only worked sporadically. Wouldn’t buy again. It was really nice when it did work but I just can’t leave the lawn being watered up to chance. Don’t buy.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews"
"1588621705-711","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Biostation Scott","Great product","Reviewed in the United States on August 11, 2019","Was used at our streamlab facility to alternate flow between artificial streams very useful for students.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews"
"1588621700-693","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Barbara J. Smith","Great","Reviewed in the United States on August 22, 2019","Great, bought a second one. Easy to set up. Works like a charm.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews"
"1588621707-725","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","","","","","","null","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews"
"1588621691-651","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Rosepetal","Easy to install","Reviewed in the United States on September 17, 2019","I read the reviews and decided to purchase this one.  It was easy for my husband to install.  I had no problems programming it for each of the 4 stations.  I manually tested each station and each worked perfectly for the amount of time selected and then shut off.  The instructions are clear and there is a phone number to call if there are any problems.  Now I need to wait to see how the automatic system works.  Will update if there are any issues.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews"
"1588621702-709","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","3039080656","Presure","Reviewed in the United States on January 4, 2020","Work well for a time, then it would try to operate two or more sprinkler and water pressure not stronger to work","3.0 out of 5 stars","Next page→","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews"
"1588621689-648","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","jkmayne","Best bang for your buck","Reviewed in the United States on April 2, 2020","I purchased this timer for basic lawn watering but have since added several other irrigation zones.
The interface is easy to use even though at first glance it looks overwhelming. I have had no issues with leaks or other parts breaking. Over the year that I have had this product I have only had one issue, after changing my setup the water pressure coming into the unit became too high and prevented the valves from opening. I reached out to the Melnor customer support and got a response the next day. The max PSI is 80 with a min of 20. Installing a pressure regulation valve was an easy cheap fix. I highly recommend this as a budget friendly timer with multiple zone control.","5.0 out of 5 stars","",""
"1588621691-654","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Ab","very good system","Reviewed in the United States on October 1, 2019","First unit was working well then ran into problems.( about 10 weeks) But I got in touch with melnor customer service rep who sent out a new timer. Do really appreciate the great response.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews"
"1588621700-692","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Randall","Leaky Piece of Junk","Reviewed in the United States on May 29, 2019","It leaks. It leaks by where the connection to the main wall hydrant is and it leaks out one of the four valves that is stuck open. Since the premise is you can set the water timer and sprinkler up and leave it to run without you there—you are talking about this thing leaking for hours.

It’s a piece of junk.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews"
"1588621691-658","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Sue  Ackley","You don’t need to be a wizard to set this up.","Reviewed in the United States on September 18, 2019","What makes me happy about this four-zone timer is how easy it is to hop into a manual schedule add ten minutes to a single zone and walk away. I’m trying to grow grass seed and need to keep areas wet. So, I am always going to the manual addition of minutes when it gets especially hot ourside.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Melnor-65038-AMZ-HydroLogic-Digital-Stainless/product-reviews/B07NF1F4NL/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews"
